Time_ps	P1_Polar	P2_Nematic
6380.00	0.445082	0.638842
6390.00	0.441326	0.633864
6400.00	0.441963	0.639151
6410.00	0.443804	0.641694
6420.00	0.442459	0.633850
6430.00	0.442483	0.634701
6440.00	0.441118	0.630084
6450.00	0.438541	0.633513
6460.00	0.441616	0.637407
6470.00	0.444724	0.636829
6480.00	0.442287	0.634297
6490.00	0.442952	0.635177
6500.00	0.441568	0.637759
6510.00	0.442045	0.632321
6520.00	0.442624	0.636140
6530.00	0.441044	0.631521
6540.00	0.442127	0.631099
6550.00	0.441397	0.633476
6560.00	0.442296	0.639164
6570.00	0.444930	0.646935
6580.00	0.442184	0.641352
6590.00	0.445033	0.640039
6600.00	0.445049	0.640381
6610.00	0.443740	0.641611
6620.00	0.441849	0.640350
6630.00	0.443003	0.633456
6640.00	0.439297	0.635809
6650.00	0.441729	0.634128
6660.00	0.442824	0.633647
6670.00	0.442876	0.631969
6680.00	0.444589	0.641653
6690.00	0.446742	0.635430
6700.00	0.444488	0.639801
6710.00	0.443907	0.634999
6720.00	0.444620	0.638161
6730.00	0.441733	0.643224
6740.00	0.443633	0.638158
6750.00	0.443707	0.643734
6760.00	0.441080	0.639298
6770.00	0.442519	0.640424
6780.00	0.442274	0.642322
6790.00	0.443171	0.637691
6800.00	0.444711	0.646504
6810.00	0.445023	0.641667
6820.00	0.444227	0.644154
6830.00	0.442363	0.637536
6840.00	0.444837	0.639474
6850.00	0.443886	0.636508
6860.00	0.447010	0.646287
6870.00	0.445615	0.643411
6880.00	0.443753	0.643700
6890.00	0.445357	0.642651
6900.00	0.441362	0.639490
6910.00	0.444734	0.644105
6920.00	0.445118	0.643326
6930.00	0.446327	0.646542
6940.00	0.447512	0.648537
6950.00	0.444596	0.642945
6960.00	0.445938	0.652241
6970.00	0.443934	0.646124
6980.00	0.446081	0.642105
6990.00	0.444385	0.641249
7000.00	0.448509	0.644880
7010.00	0.447202	0.640488
7020.00	0.445502	0.638604
7030.00	0.447365	0.643642
7040.00	0.443613	0.640520
7050.00	0.444627	0.637650
7060.00	0.447330	0.641467
7070.00	0.445521	0.642832
7080.00	0.444794	0.641212
7090.00	0.445443	0.646356
7100.00	0.440457	0.640161
7110.00	0.442444	0.642953
7120.00	0.441884	0.641202
7130.00	0.440215	0.638479
7140.00	0.443412	0.647383
7150.00	0.443147	0.640727
7160.00	0.442676	0.644078
7170.00	0.441843	0.638637
7180.00	0.442206	0.647035
7190.00	0.443844	0.643139
7200.00	0.441493	0.640341
7210.00	0.442162	0.643385
7220.00	0.442996	0.637101
7230.00	0.443738	0.641464
7240.00	0.443606	0.641456
7250.00	0.444559	0.647493
7260.00	0.442453	0.641168
7270.00	0.444903	0.643761
7280.00	0.442855	0.638891
7290.00	0.444122	0.648950
7300.00	0.442817	0.644698
7310.00	0.441644	0.640164
7320.00	0.440628	0.640649
7330.00	0.443736	0.649009
7340.00	0.442873	0.640048
7350.00	0.443596	0.640786
7360.00	0.441282	0.638442
7370.00	0.442480	0.645731
7380.00	0.444296	0.645211
7390.00	0.446121	0.641282
7400.00	0.442680	0.640834
7410.00	0.442306	0.641022
7420.00	0.439748	0.637411
7430.00	0.440003	0.644320
7440.00	0.441900	0.640754
7450.00	0.444250	0.644397
7460.00	0.440649	0.640180
7470.00	0.442129	0.643482
7480.00	0.441102	0.638223
7490.00	0.442110	0.640339
7500.00	0.440208	0.640875
7510.00	0.443375	0.650678
7520.00	0.443536	0.646558
7530.00	0.442704	0.641633
7540.00	0.443753	0.648670
7550.00	0.438288	0.639273
7560.00	0.440036	0.644126
