Time_ps	P1_Polar	P2_Nematic
4150.00	0.447657	0.687317
4160.00	0.445888	0.680751
4170.00	0.447259	0.685631
4180.00	0.447001	0.686872
4190.00	0.448127	0.682702
4200.00	0.447305	0.686640
4210.00	0.449130	0.689952
4220.00	0.449649	0.690041
4230.00	0.447717	0.686229
4240.00	0.448065	0.684824
4250.00	0.444919	0.679480
4260.00	0.446980	0.680130
4270.00	0.448661	0.681977
4280.00	0.448422	0.687075
4290.00	0.449784	0.687745
4300.00	0.448320	0.687885
4310.00	0.446868	0.684149
4320.00	0.447362	0.686674
4330.00	0.447789	0.686420
4340.00	0.447870	0.688129
4350.00	0.444936	0.686838
4360.00	0.449237	0.681728
4370.00	0.449179	0.683593
4380.00	0.446715	0.683624
4390.00	0.450724	0.685244
4400.00	0.448248	0.680725
4410.00	0.453116	0.695121
4420.00	0.449858	0.685368
4430.00	0.448275	0.682473
4440.00	0.447159	0.680877
4450.00	0.449808	0.678604
4460.00	0.450024	0.688235
4470.00	0.452338	0.685794
4480.00	0.447423	0.681279
4490.00	0.448617	0.681973
4500.00	0.448409	0.677273
4510.00	0.445819	0.682150
4520.00	0.444535	0.676802
4530.00	0.447676	0.682487
4540.00	0.449236	0.685821
4550.00	0.447768	0.683819
4560.00	0.449986	0.681723
4570.00	0.448180	0.683630
4580.00	0.447497	0.677016
4590.00	0.449841	0.680246
4600.00	0.449044	0.679537
4610.00	0.447840	0.680495
4620.00	0.448939	0.688807
4630.00	0.449000	0.678732
4640.00	0.447935	0.682102
4650.00	0.447588	0.676608
4660.00	0.446547	0.680799
4670.00	0.445633	0.675530
4680.00	0.444260	0.676078
4690.00	0.446709	0.680947
4700.00	0.446160	0.680181
4710.00	0.445063	0.672348
4720.00	0.444687	0.675073
4730.00	0.445646	0.674776
4740.00	0.445479	0.674573
4750.00	0.445878	0.671219
4760.00	0.449808	0.676708
4770.00	0.446504	0.681853
4780.00	0.446654	0.680948
4790.00	0.447810	0.682287
4800.00	0.447997	0.685811
4810.00	0.446952	0.678209
4820.00	0.447683	0.678153
4830.00	0.446538	0.678165
4840.00	0.447060	0.679803
4850.00	0.446785	0.680293
4860.00	0.451110	0.686882
4870.00	0.446598	0.675553
4880.00	0.446527	0.677599
4890.00	0.447123	0.677639
4900.00	0.447283	0.679794
4910.00	0.444736	0.677641
4920.00	0.446956	0.679968
4930.00	0.446719	0.681274
4940.00	0.445614	0.681073
4950.00	0.444415	0.680671
4960.00	0.446870	0.677816
4970.00	0.447727	0.678812
4980.00	0.446159	0.679399
4990.00	0.447182	0.677372
5000.00	0.445039	0.675264
5010.00	0.446702	0.681932
5020.00	0.443889	0.675053
5030.00	0.443265	0.668529
5040.00	0.446449	0.678851
5050.00	0.446366	0.677501
5060.00	0.443972	0.676203
5070.00	0.445883	0.679622
5080.00	0.446339	0.683148
5090.00	0.445697	0.687930
5100.00	0.447075	0.683862
5110.00	0.446326	0.682110
5120.00	0.447785	0.685099
5130.00	0.443438	0.675730
5140.00	0.443914	0.672017
5150.00	0.444611	0.674482
5160.00	0.445879	0.674630
5170.00	0.446196	0.679951
5180.00	0.442060	0.677820
5190.00	0.443325	0.674723
5200.00	0.445656	0.674514
5210.00	0.443012	0.671136
5220.00	0.444954	0.677549
5230.00	0.444202	0.676656
5240.00	0.445794	0.676239
5250.00	0.448995	0.676738
5260.00	0.447945	0.679341
5270.00	0.448673	0.680888
5280.00	0.446120	0.680945
5290.00	0.447336	0.677843
5300.00	0.447335	0.674319
5310.00	0.445880	0.675481
5320.00	0.445964	0.675060
5330.00	0.445183	0.676977
5340.00	0.445972	0.676502
5350.00	0.444792	0.678263
5360.00	0.446542	0.675402
5370.00	0.447601	0.680326
5380.00	0.445187	0.680019
5390.00	0.445153	0.682734
5400.00	0.442954	0.677962
5410.00	0.446748	0.680001
5420.00	0.446361	0.676744
5430.00	0.445869	0.678039
5440.00	0.445421	0.682084
5450.00	0.447048	0.678442
5460.00	0.445007	0.675308
5470.00	0.443247	0.677211
5480.00	0.447250	0.681432
5490.00	0.445011	0.678078
5500.00	0.449271	0.682954
5510.00	0.445558	0.678111
5520.00	0.445634	0.676507
5530.00	0.449814	0.684329
